call_id,customer_id,agent_id,call_duration,call_type,issue
0e4bf2e6-11a7-44de-bbd1-a07b85742b72,0ef63212-5ccc-472d-ba5a-16dc07779998,6cac15f0-eeb7-4622-aa6b-59fea2188e2d,22,Inbound,Billing Inquiry
7b3ea6c7-183d-4dbb-96d0-757e160c92f6,0f66f6e3-461c-4579-8cf5-9a25eab95065,7bc0ab65-9a32-4825-b2ee-c00a3eaa25ab,94,Outbound,Complaint
ea1ddf54-af5f-4735-8cec-875e093cbe69,4e86e820-9735-4d00-8683-dc2cf7942db7,3dcc4561-43d1-41db-8e46-a90c2138161b,71,Outbound,Billing Inquiry
caa0821f-df1f-42db-b192-863bc4ca8725,5e9c16c7-d4c5-4bf2-8812-5dd76f0c773e,726eaa1f-a1df-4387-8187-84a45e5ff524,75,Outbound,Technical Support
e1f6929f-de8d-4a76-9ea6-5183f3e4b761,4e0f21ff-b82a-4dea-a03a-b1daa3ead2b9,b6be28ab-2e5e-4ae7-84f5-64ea01c0bc8e,7,Inbound,Complaint
3bfa3adc-cd15-4ee3-b35e-66ae922c6b53,7fcf2a1c-366a-4343-89a7-9037864f3a25,cfe538f5-f2bd-41b0-a7eb-e8127ebcd901,115,Inbound,Billing Inquiry
d134479a-e070-49b2-a462-9c9571c1360b,37c4c182-0e10-4c76-95cd-3c594877bb10,a3baebfd-462f-430e-92b8-c1384361b409,44,Outbound,Billing Inquiry
e79473c0-b886-4ed5-a267-3c731e326852,3c50893b-c2e2-4777-b06e-ae99c8d59e08,655a5b51-205b-4677-bab1-1f755a0075ca,71,Inbound,Billing Inquiry
27842fbe-d5bb-4de0-a8a5-05a3f762cbd8,6d37789e-0b9b-449f-9218-c08af0938e6b,196850dc-85fd-4b40-946b-d740b9b38fad,86,Outbound,Billing Inquiry
b34e8eb4-5552-44a1-baff-855ac8a12852,b40f9804-abfe-401f-a450-4578615d973a,726eaa1f-a1df-4387-8187-84a45e5ff524,19,Inbound,Complaint
b4b12ec3-ed93-4d4b-813c-07945176f120,ded87de1-9156-4ef3-8364-2f33bb33ebe1,3843d1ba-0fe8-43c4-95db-85431f587140,59,Outbound,Technical Support
35dabc27-f0b6-47f3-b4a6-851a50d445f5,8dc8a720-1c4c-40d2-92f0-fb3761050ec4,2465e245-eafe-4eee-b0e4-fcb3fdc22016,71,Outbound,Technical Support
97f91734-4193-4159-b5f4-32a7415eb2b0,46360354-f5ba-42f5-a686-c31c2c9ab998,3d337902-a266-4da9-a2f2-7ee961ea9200,1,Inbound,Complaint
8a23ceab-4bf4-4617-a0d9-210aacabc251,23652141-4770-4204-98d6-69815bc7680a,ead24ec8-353f-48c9-89d3-5f239f670221,64,Outbound,Complaint
abe4e040-162a-45da-9171-e0d213c13c6a,4256ac5b-2e77-4734-a737-a70f6bf6a163,5eb28d58-4e05-4cc6-be97-69e67201325c,114,Inbound,Billing Inquiry
b7787f77-a55e-4fe4-83df-d91a747f3190,5710a126-6a26-4aed-af52-59541795d57c,2535b78c-bcb0-45c8-a58b-a3d844d9a44c,93,Inbound,Technical Support
